name,team,position,rank,ppr,BYE
Bo Nix,DEN,QB8,121,303,12.0
Baker Mayfield,TB,QB9,122,308,9.0
Justin Herbert,LAC,QB10,123,291,12.0
Caleb Williams,CHI,QB11,124,293,5.0
Tyjae Spears,TEN,RB36,125,134,10.0
Austin Ekeler,WAS,RB37,126,144,12.0
Dak Prescott,DAL,QB12,127,278,10.0
Jake Bates,DET,K2,128,81,8.0
Keenan Allen,UNS,WR54,129,142,N/A
Javonte Williams,DAL,RB40,130,166,10.0
Chigoziem Okonkwo,TEN,TE19,131,130,10.0
Jayden Higgins,HOU,WR55,132,148,6.0
Cade Otton,TB,TE22,133,133,9.0
Amari Cooper,UNS,WR56,134,131,N/A
Justin Tucker,BAL,K3,135,63,7.0
Romeo Doubs,GB,WR57,136,135,5.0
Dalton Schultz,HOU,TE25,137,124,6.0
Jordan Mason,MIN,RB43,138,114,6.0
Matthew Golden,GB,WR59,139,172,5.0
Luther Burden III,CHI,WR58,140,119,5.0
Evan McPherson,CIN,K4,141,66,10.0
Joshua Palmer,BUF,WR60,142,124,7.0
Tyler Bass,BUF,K5,143,67,7.0
Matt Gay,WAS,K6,144,66,12.0
Tyler Loop,BAL,K7,145,83,7.0
Brenton Strange,JAC,TE26,146,120,8.0
Harrison Butker,KC,K8,147,74,10.0
Emeka Egbuka,TB,WR62,148,127,9.0
Juwan Johnson,NO,TE27,149,115,11.0
Jack Bech,LVR,WR63,150,141,8.0
Quentin Johnston,LAC,WR65,151,133,12.0
Rashod Bateman,BAL,WR66,152,144,7.0
Mason Taylor,NYJ,TE28,153,97,9.0
Tre Harris,LAC,WR67,154,133,12.0
Justin Fields,NYJ,QB13,155,295,9.0
Trevor Lawrence,JAC,QB14,156,285,8.0
Drake Maye,NE,QB15,157,281,14.0
Jared Goff,DET,QB16,158,281,8.0
Brock Purdy,SF,QB17,159,296,14.0
Rachaad White,TB,RB41,160,124,9.0
Zach Charbonnet,SEA,RB42,161,128,8.0
Jordan Love,GB,QB18,162,272,5.0
C.J. Stroud,HOU,QB19,163,277,6.0
Tua Tagovailoa,MIA,QB20,164,269,12.0
J.J. McCarthy,MIN,QB21,165,283,6.0
Rhamondre Stevenson,NE,RB44,166,147,14.0
Jaydon Blue,DAL,RB45,167,75,10.0
Diontae Johnson,CLE,WR61,168,122,9.0
Jake Elliott,PHI,K9,169,65,9.0
Chase McLaughlin,TB,K10,170,63,9.0
Ray Davis,BUF,RB46,171,90,7.0
Cam Little,JAC,K11,172,59,8.0
Bhayshul Tuten,JAC,RB48,173,76,8.0
Chad Ryland,ARI,K12,174,65,8.0
Tyler Allgeier,ATL,RB50,175,99,5.0
Kyle Williams,NE,WR68,176,93,14.0
Jason Sanders,MIA,K13,177,59,12.0
Cameron Dicker,LAC,K14,178,69,12.0
Trey Benson,ARI,RB51,179,95,8.0
Xavier Legette,CAR,WR69,180,127,14.0
Cedric Tillman,CLE,WR70,181,135,9.0
Jake Moody,SF,K15,182,59,14.0
Jalen Coker,CAR,WR72,183,111,14.0
Marvin Mims Jr.,DEN,WR71,184,141,12.0
Isaac Guerendo,SF,RB52,185,99,14.0
Cole Kmet,CHI,TE29,186,97,5.0
Adam Thielen,CAR,WR73,187,156,14.0
Jaylen Wright,MIA,RB54,188,81,12.0
Michael Wilson,ARI,WR74,189,131,8.0
Theo Johnson,NYG,TE30,190,102,14.0
Jalen McMillan,TB,WR75,191,111,9.0
Darius Slayton,NYG,WR76,192,108,14.0
Alec Pierce,IND,WR77,193,104,11.0
Mike Williams,LAC,WR79,194,102,12.0
Elijah Arroyo,SEA,TE31,195,40,8.0
Ja'Tavion Sanders,CAR,TE32,196,90,14.0
Terrance Ferguson,LAR,TE35,197,47,8.0
Bryce Young,CAR,QB22,198,262,14.0
Wan'Dale Robinson,NYG,WR64,199,151,14.0
Roschon Johnson,CHI,RB47,200,102,5.0
