Player,Team,actual_Rank,actual_CMP(Passing),actual_ATT(Passing),actual_PCT(Passing),actual_YDS(Passing),actual_Y/A(Passing),actual_TD(Passing),actual_INT,actual_SACKS,actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_ATT(Passing),projections_CMP(Passing),projections_YDS(Passing),projections_TD(Passing),projections_INTS,projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_FL,projections_FPTS
Sean Clifford,GB,83.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,154.0,1.0,1.0,0.0,8.0,0.0,0.0,10.0
Jordan Travis,NYJ,89.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.1,0.0,0.0,188.0,1.0,1.0,0.0,10.0,0.0,0.0,11.5
Stetson Bennett,LAR,90.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,92.0,1.0,0.0,0.0,13.0,0.0,0.0,9.0
Jaren Hall,SEA,91.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,174.0,1.0,1.0,0.0,26.0,0.0,0.0,12.6
Devin Leary,BAL,94.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
Michael Pratt,TB,95.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,190.0,1.0,1.0,0.0,12.0,0.0,0.0,11.8
Sam Hartman,WAS,98.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,7.0,0.0,0.0,8.7
Easton Stick,ATL,110.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,1.0,1.0,0.0,13.0,0.0,0.0,12.9
Jake Browning,CIN,114.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,3.0,0.0,-0.1,8.2,50.6,32.7,328.0,2.4,1.0,5.6,23.5,0.2,0.2,24.7
Tyson Bagent,CHI,116.0,2.0,2.0,100.0,11,5.5,0.0,0.0,0.0,6.0,-7.0,0.0,0.0,4.0,0.0,-0.1,1.8,46.3,29.7,291.0,1.7,1.2,5.2,24.4,0.1,0.2,20.0
Clayton Tune,ARI,117.0,2.0,2.0,100.0,8,4.0,0.0,0.0,0.0,7.0,-4.0,0.0,1.0,6.0,0.0,-0.4,0.6,48.4,30.9,305.6,1.6,1.4,5.7,20.8,0.1,0.2,19.3
