Player,Team,actual_Rank,actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_LG(Recieving),actual_20+(Recieving),actual_TD(Recieving),actual_ATT(Rushing),actual_YDS(Rushing),actual_TD(Rushing),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_FL,projections_FPTS,ADP
Xavier Legette,CAR,68.0,49.0,84.0,497,10.1,35.0,7.0,4.0,6.0,24.0,0.0,0.0,16.0,76.1,4.8,43.8,45.6,593.3,3.0,2.8,17.2,0.1,0.4,78.9,164.5
Jalen Nailor,MIN,69.0,28.0,42.0,414,14.8,33.0,8.0,6.0,3.0,-4.0,0.0,1.0,17.0,75.0,4.4,11.9,27.5,341.5,1.7,0.0,0.3,0.0,0.1,44.2,306.0
Stefon Diggs,NE,70.0,47.0,64.0,496,10.6,49.0,5.0,3.0,3.0,8.0,1.0,0.0,8.0,74.9,9.4,64.8,85.1,1032.2,6.6,1.9,9.1,0.1,1.0,142.1,39.0
KaVontae Turpin,DAL,71.0,31.0,52.0,420,13.5,64.0,6.0,2.0,16.0,92.0,0.0,1.0,17.0,73.2,4.3,17.1,18.7,220.3,2.6,8.7,67.2,0.4,0.4,46.2,0.0
Tyler Lockett,TEN,72.0,49.0,74.0,600,12.2,37.0,7.0,2.0,0.0,0.0,0.0,0.0,17.0,72.0,4.2,29.2,66.3,759.7,5.2,0.0,1.5,0.0,0.5,106.1,137.0
Dontayvion Wicks,GB,73.0,39.0,76.0,415,10.6,36.0,4.0,5.0,0.0,0.0,0.0,0.0,17.0,71.5,4.2,35.5,46.1,614.7,4.8,0.3,3.8,0.0,0.5,89.4,158.0
Darius Slayton,NYG,74.0,39.0,71.0,573,14.7,43.0,9.0,2.0,2.0,17.0,0.0,0.0,16.0,71.0,4.4,28.1,43.4,612.3,3.2,0.0,1.3,0.0,0.1,80.3,276.5
Joshua Palmer,BUF,75.0,39.0,65.0,584,15.0,45.0,10.0,1.0,0.0,0.0,0.0,0.0,15.0,68.4,4.6,36.9,62.1,787.1,4.7,0.3,2.8,0.0,0.9,105.6,131.0
Mack Hollins,NE,76.0,31.0,50.0,378,12.2,44.0,4.0,5.0,0.0,0.0,0.0,0.0,17.0,67.8,4.0,5.2,14.4,185.4,1.3,0.0,0.0,0.0,0.0,26.3,0.0
Olamide Zaccheaus,CHI,77.0,45.0,64.0,506,11.2,49.0,5.0,3.0,1.0,8.0,0.0,1.0,17.0,67.4,4.0,9.9,22.1,270.4,1.6,0.0,5.0,0.0,0.1,36.8,0.0
Marquez Valdes-Scantling,SEA,78.0,19.0,44.0,411,21.6,71.0,8.0,4.0,1.0,4.0,0.0,0.0,14.0,65.5,4.7,12.4,9.9,155.0,1.2,0.0,1.0,0.0,0.0,22.4,0.0
Devaughn Vele,DEN,79.0,41.0,55.0,475,11.6,37.0,7.0,3.0,0.0,0.0,0.0,0.0,13.0,65.5,5.0,20.1,11.8,139.1,0.9,0.0,0.0,0.0,0.0,19.1,0.0
Parker Washington,JAC,80.0,32.0,51.0,390,12.2,30.0,6.0,3.0,0.0,0.0,0.0,0.0,17.0,65.0,3.8,9.5,20.4,217.1,1.6,0.0,4.0,0.0,0.0,31.7,0.0
Ricky Pearsall,SF,81.0,31.0,46.0,400,12.9,46.0,5.0,3.0,3.0,45.0,0.0,0.0,11.0,62.5,5.7,78.8,32.2,393.9,3.0,2.4,15.3,0.1,0.1,59.4,224.5
Rashid Shaheed,NO,84.0,20.0,41.0,349,17.5,70.0,5.0,3.0,6.0,29.0,0.0,1.0,6.0,59.8,10.0,82.3,51.4,742.1,4.2,4.3,33.2,0.0,0.9,101.4,156.5
Tim Patrick,DET,85.0,33.0,44.0,394,11.9,42.0,6.0,3.0,0.0,0.0,0.0,0.0,16.0,59.4,3.7,6.9,38.0,467.0,3.0,0.0,9.0,0.0,0.0,65.6,0.0
Tutu Atwell,LAR,86.0,42.0,62.0,562,13.4,50.0,10.0,0.0,2.0,7.0,0.0,0.0,17.0,56.9,3.3,20.3,17.4,229.8,1.2,2.2,14.1,0.1,0.1,31.7,0.0
Greg Dortch,ARI,88.0,37.0,50.0,342,9.2,39.0,2.0,3.0,5.0,31.0,0.0,1.0,17.0,53.3,3.1,8.5,40.9,424.1,2.5,3.2,21.2,0.1,0.1,59.6,232.0
David Moore,CAR,89.0,32.0,57.0,351,11.0,21.0,2.0,3.0,1.0,0.0,0.0,0.0,17.0,53.1,3.1,0.6,8.1,108.0,0.7,0.0,1.7,0.0,0.1,14.8,0.0
Cedric Tillman,CLE,90.0,29.0,49.0,339,11.7,38.0,6.0,3.0,1.0,-5.0,0.0,1.0,11.0,51.4,4.7,55.2,24.1,307.9,2.0,0.0,1.7,0.0,0.2,42.3,0.0
Noah Brown,WAS,91.0,35.0,56.0,453,12.9,52.0,4.0,1.0,0.0,0.0,0.0,0.0,11.0,51.3,4.7,6.6,33.9,466.2,2.1,0.3,0.8,0.0,0.1,58.9,288.0
Chris Olave,NO,93.0,32.0,44.0,400,12.5,39.0,4.0,1.0,1.0,7.0,0.0,1.0,8.0,44.7,5.6,66.5,89.9,1201.3,6.5,0.0,1.0,0.0,0.6,158.1,25.5
Christian Kirk,HOU,94.0,27.0,47.0,379,14.0,61.0,7.0,1.0,0.0,0.0,0.0,0.0,8.0,43.9,5.5,79.4,80.9,1008.2,5.4,1.0,6.4,0.0,1.3,131.5,67.5
Brandin Cooks,NO,95.0,26.0,54.0,259,10.0,29.0,3.0,3.0,3.0,-3.0,0.0,0.0,10.0,43.6,4.4,20.8,56.5,692.6,5.6,3.4,20.7,0.1,0.5,104.4,157.5
Rashee Rice,KC,96.0,24.0,29.0,288,12.0,44.0,3.0,2.0,1.0,1.0,0.0,0.0,4.0,40.9,10.2,77.2,80.7,959.8,7.1,1.5,7.0,0.0,1.0,137.6,66.5
Justin Watson,HOU,97.0,22.0,32.0,289,13.1,49.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,40.9,2.4,3.0,12.3,172.9,1.2,0.0,0.0,0.0,0.1,24.5,0.0
Van Jefferson,TEN,98.0,24.0,40.0,276,11.5,43.0,4.0,2.0,0.0,0.0,0.0,0.0,17.0,39.6,2.3,1.5,24.1,327.1,1.9,0.0,4.0,0.0,0.1,44.2,293.0
Kalif Raymond,DET,99.0,17.0,22.0,215,12.6,38.0,3.0,2.0,2.0,0.0,0.0,0.0,12.0,39.5,3.3,2.6,28.9,356.9,1.9,2.2,24.6,0.1,0.2,49.6,0.0
Troy Franklin,DEN,101.0,28.0,53.0,263,9.4,30.0,5.0,2.0,2.0,8.0,0.0,0.0,16.0,39.1,2.4,36.5,35.6,443.3,2.5,0.0,2.5,0.0,0.1,59.4,212.0
Dyami Brown,JAC,102.0,30.0,40.0,308,10.3,51.0,5.0,1.0,3.0,26.0,0.0,1.0,16.0,37.4,2.3,19.7,29.7,403.2,2.4,0.0,2.8,0.0,0.1,54.8,190.0
