Player,Team,actual_Rank,actual_ATT(Rushing),actual_YDS(Rushing),actual_Y/A(Rushing),actual_LG(Rushing),actual_20+(Rushing),actual_TD(Rushing),actual_REC(Recieving),actual_TGT(Recieving),actual_YDS(Recieving),actual_Y/R(Recieving),actual_TD(Recieving),actual_FL,actual_G,actual_FPTS,actual_FPTS/G,actual_ROST,projections_ATT(Rushing),projections_YDS(Rushing),projections_TD(Rushing),projections_REC(Recieving),projections_YDS(Recieving),projections_TD(Recieving),projections_FL,projections_FPTS,ADP
Joe Mixon,HOU,11.0,245.0,1016,4.1,59.0,8.0,11.0,36.0,52.0,309.0,8.6,1.0,0.0,14.0,204.5,14.6,88.2,244.8,961.8,7.6,40.1,304.4,2.2,0.9,183.4,42.0
Chase Brown,CIN,12.0,229.0,990,4.3,40.0,8.0,7.0,54.0,65.0,360.0,6.7,4.0,1.0,16.0,201.0,12.6,86.1,142.4,618.2,4.0,37.3,312.6,1.9,0.6,127.3,102.5
Chuba Hubbard,CAR,13.0,250.0,1195,4.8,38.0,8.0,10.0,43.0,54.0,171.0,4.0,1.0,3.0,15.0,198.6,13.2,85.8,156.3,622.0,4.0,27.7,192.6,0.5,0.9,106.8,119.0
Bucky Irving,TB,14.0,207.0,1122,5.4,56.0,8.0,8.0,47.0,52.0,392.0,8.3,0.0,1.0,17.0,197.4,11.6,95.6,116.2,436.6,2.8,21.0,164.8,1.0,1.5,79.7,169.0
Alvin Kamara,NO,15.0,228.0,950,4.2,24.0,3.0,6.0,68.0,89.0,543.0,8.0,2.0,0.0,14.0,197.3,14.1,79.3,204.7,802.4,5.3,66.0,467.3,2.2,0.9,169.8,43.5
Aaron Jones Sr.,MIN,16.0,255.0,1138,4.5,41.0,3.0,5.0,51.0,62.0,408.0,8.0,2.0,3.0,17.0,190.6,11.2,71.5,189.3,869.1,5.5,42.8,313.5,1.9,1.0,160.6,56.0
David Montgomery,DET,17.0,185.0,775,4.2,21.0,1.0,12.0,36.0,38.0,341.0,9.5,0.0,1.0,14.0,185.7,13.3,78.5,205.1,902.4,9.9,22.4,167.6,0.8,0.9,169.5,65.0
Breece Hall,NYJ,18.0,209.0,876,4.2,42.0,3.0,5.0,57.0,76.0,483.0,8.5,3.0,2.0,16.0,183.9,11.5,91.0,249.5,1129.4,8.1,66.8,530.2,3.8,1.4,234.8,6.0
D'Andre Swift,CHI,19.0,253.0,959,3.8,56.0,5.0,6.0,42.0,52.0,386.0,9.2,0.0,0.0,17.0,172.5,10.1,62.0,178.3,810.5,5.2,36.5,251.8,1.6,1.0,144.9,57.5
Najee Harris,LAC,20.0,263.0,1043,4.0,36.0,9.0,6.0,36.0,48.0,283.0,7.9,0.0,0.0,17.0,168.6,9.9,69.5,237.2,949.0,6.6,28.6,180.8,1.2,1.0,157.5,67.0
