"Rank","Player","REC(Recieving)","TGT(Recieving)","YDS(Recieving)","Y/R(Recieving)","LG(Recieving)","20+(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","G","FPTS","FPTS/G","ROST"
"165","Jacob Cowing (SF)","4","6","80","20.0","41","1","0","1","7","0","1","15","6.7","0.4","3.2%"
"166","River Cracraft (SEA)","7","9","66","9.4","16","0","0","0","0","0","0","8","6.6","0.8","0.0%"
"167","Michael Woods II (CLE)","7","17","65","9.3","16","0","0","0","0","0","0","5","6.5","1.3","0.3%"
"168","Jalin Hyatt (NYG)","8","19","62","7.8","19","0","0","0","0","0","0","16","6.2","0.4","4.9%"
"169","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","15","6.0","0.4","0.1%"
"170","Laviska Shenault Jr. (BUF)","5","5","36","7.2","18","0","0","1","1","0","2","12","5.7","0.5","0.1%"
"171","Odell Beckham Jr. (FA)","9","18","55","6.1","11","0","0","0","0","0","0","9","5.5","0.6","1.8%"
"172","DeAndre Carter (CLE)","9","14","72","8.0","14","0","0","0","0","0","1","13","5.2","0.4","0.1%"
"173","Nikko Remigio (KC)","2","6","48","24.0","25","2","0","0","0","0","0","5","4.8","1.0","2.4%"
"174","Tyquan Thornton (KC)","4","8","47","11.8","17","0","0","0","0","0","0","6","4.7","0.8","0.1%"
"175","Charlie Jones (CIN)","1","1","5","5.0","5","0","0","0","0","0","1","8","4.5","0.6","0.1%"
"176","Cody White (SEA)","2","3","44","22.0","28","1","0","0","0","0","0","4","4.4","1.1","0.1%"
"177","Dee Eskridge (MIA)","3","3","44","14.7","30","1","0","0","0","0","0","6","4.4","0.7","3.1%"
"178","Xavier Smith (LAR)","2","2","6","3.0","11","0","0","4","36","0","0","15","4.2","0.3","0.2%"
"179","Tim Jones (MIN)","3","5","41","13.7","20","1","0","0","0","0","0","16","4.1","0.3","3.1%"
"180","Terrace Marshall Jr. (PHI)","3","6","41","13.7","28","1","0","0","0","0","0","7","4.1","0.6","0.0%"
"181","Dan Chisena (CAR)","3","4","37","12.3","23","1","0","0","0","0","0","6","3.7","0.6","0.1%"
"182","Treylon Burks (TEN)","4","8","34","8.5","13","0","0","2","1","0","0","5","3.5","0.7","3.6%"
"183","Britain Covey (FA)","7","8","34","4.9","11","0","0","0","0","0","0","5","3.4","0.7","0.0%"
"184","Alex Bachman (LV)","3","3","31","10.3","18","0","0","0","0","0","0","5","3.1","0.6","0.1%"
"185","Allen Robinson II (FA)","3","7","30","10.0","21","1","0","0","0","0","0","12","3.0","0.3","1.4%"
"186","David Bell (CLE)","3","3","27","9.0","12","0","0","0","0","0","0","1","2.7","2.7","0.1%"
"187","Deven Thompkins (FA)","4","4","20","5.0","12","0","0","2","7","0","0","7","2.7","0.4","0.0%"
"188","Anthony Gould (IND)","1","1","23","23.0","23","1","0","0","0","0","0","8","2.3","0.3","0.6%"
"189","Ronnie Bell (DET)","2","6","22","11.0","12","0","0","0","0","0","0","8","2.2","0.3","0.1%"
"190","Malachi Corley (NYJ)","3","6","16","5.3","10","0","0","2","26","0","1","7","2.2","0.3","14.3%"
"191","Jamari Thrash (CLE)","3","7","22","7.3","11","0","0","0","0","0","0","9","2.2","0.2","1.2%"
"192","Austin Trammell (JAC)","2","3","40","20.0","22","1","0","0","0","0","1","1","2.0","2.0","0.0%"
"193","Chris Blair (ATL)","1","2","17","17.0","17","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"194","Mason Kinsey (TEN)","2","2","17","8.5","11","0","0","0","0","0","0","6","1.7","0.3","0.1%"
"195","Anthony Miller (BAL)","1","1","16","16.0","16","0","0","0","0","0","0","2","1.6","0.8","0.0%"
