"Player","Team","REC(Recieving)","YDS(Recieving)","TD(Recieving)","ATT(Rushing)","YDS(Rushing)","TD(Rushing)","FL","FPTS"
"Bub Means","NO","13.2","160.2","1.1","0.0","0.0","0.0","0.0","22.3"
"Parris Campbell","DAL","14.0","152.0","1.0","0.0","5.0","0.0","0.0","21.7"
"Ainias Smith","PHI","11.0","141.0","1.0","0.0","6.0","0.0","0.0","20.7"
"Jamari Thrash","CLE","11.0","141.0","1.0","0.0","6.0","0.0","0.0","20.7"
"Ryan Flournoy","DAL","12.0","141.1","1.1","0.0","0.0","0.0","0.0","20.5"
"Antoine Green","DET","12.0","141.0","1.0","0.0","0.0","0.0","0.0","20.1"
"Jacob Cowing","SF","11.0","134.0","1.0","0.0","6.0","0.0","0.0","20.0"
"Braxton Berrios","HOU","14.4","140.6","0.9","0.0","2.7","0.0","0.1","19.8"
"Johnny Wilson","PHI","11.8","140.0","0.9","0.0","2.5","0.0","0.0","19.3"
"Nick Westbrook-Ikhine","MIA","10.6","143.4","0.8","0.0","1.3","0.0","0.0","19.2"
"Devaughn Vele","DEN","11.8","139.1","0.9","0.0","0.0","0.0","0.0","19.1"
"Tahj Washington","MIA","11.0","131.0","1.0","0.0","0.0","0.0","0.0","19.1"
"Brandon Johnson","PIT","10.0","124.0","1.0","0.0","7.0","0.0","0.0","19.1"
"Nikko Remigio","KC","10.0","130.0","1.0","0.0","0.0","0.0","0.0","19.0"
"KJ Hamler","BUF","9.0","125.0","1.0","0.0","5.0","0.0","0.0","19.0"
"Quez Watkins","ARI","9.0","127.0","1.0","0.0","3.0","0.0","0.0","19.0"
"Michael Woods II","CLE","9.0","119.0","1.0","0.0","4.0","0.0","0.0","18.3"
"Tejhaun Palmer","ARI","11.0","122.0","1.0","0.0","0.0","0.0","0.0","18.2"
"Jordan Whittington","LAR","10.8","129.6","0.9","0.0","0.0","0.0","0.0","18.2"
"Russell Gage Jr.","SF","10.0","114.0","1.0","0.0","3.0","0.0","0.0","17.7"
"Ben Skowronek","PIT","9.0","111.0","1.0","0.0","4.0","0.0","0.0","17.5"
"Tyler Scott","CHI","8.9","101.7","0.8","2.1","18.2","0.1","0.0","17.1"
"Justyn Ross","KC","8.0","103.0","1.0","0.0","0.0","0.0","0.0","16.3"
"Derius Davis","LAC","7.0","81.2","0.6","6.7","38.6","0.1","0.1","15.8"
"Danny Gray","PHI","7.0","94.0","1.0","0.0","4.0","0.0","0.0","15.8"
"Casey Washington","ATL","8.7","105.8","0.8","0.0","0.0","0.0","0.0","15.5"
"Jalen Brooks","DAL","11.5","106.9","0.8","0.0","0.0","0.0","0.0","15.3"
"Skyy Moore","KC","8.5","99.5","0.8","0.0","3.0","0.0","0.1","14.8"
"David Moore","CAR","8.1","108.0","0.7","0.0","1.7","0.0","0.1","14.8"
"Devin Duvernay","CHI","8.8","88.5","0.4","3.3","16.9","0.1","0.1","13.4"
"Jalen Reagor","LAC","7.0","90.7","0.7","0.0","2.0","0.0","0.0","13.2"
"Ihmir Smith-Marsette","NYG","11.3","81.8","0.6","0.0","13.0","0.0","0.0","12.9"
"Brenden Rice","LAC","7.2","87.9","0.6","0.0","2.0","0.0","0.0","12.7"
"Chris Moore","WAS","7.7","92.6","0.5","0.0","3.3","0.0","0.0","12.7"
"Zach Pascal","NYG","6.8","83.5","0.7","0.0","2.0","0.0","0.0","12.5"
"Mason Tipton","NO","7.7","86.1","0.6","0.0","0.0","0.0","0.0","12.4"
"Kayshon Boutte","NE","6.9","86.3","0.6","0.0","2.5","0.0","0.0","12.3"
"Xavier Hutchinson","HOU","6.4","76.6","0.6","0.0","7.0","0.0","0.0","11.9"
"Mecole Hardman Jr.","GB","5.1","64.5","0.6","2.1","15.4","0.1","0.0","11.8"
"Anthony Gould","IND","6.8","80.8","0.6","0.0","0.0","0.0","0.0","11.8"
"Charlie Jones","CIN","6.8","83.1","0.5","0.0","1.7","0.0","0.0","11.7"
"Ronnie Bell","DET","6.4","78.0","0.6","0.0","2.0","0.0","0.0","11.6"
"Ashton Dulin","IND","6.5","75.1","0.6","0.0","2.0","0.0","0.0","11.6"
"Jason Brownlee","KC","6.3","78.6","0.6","0.0","1.5","0.0","0.0","11.5"
"Laviska Shenault Jr.","BUF","5.2","54.9","0.2","5.3","36.6","0.1","0.1","11.0"
"Bo Melton","GB","5.9","68.5","0.5","1.0","6.3","0.0","0.1","10.4"
"Bryce Ford-Wheaton","NYG","7.1","74.8","0.4","0.0","0.0","0.0","0.0","9.6"
"Malik Heath","GB","5.4","62.1","0.5","0.0","1.0","0.0","0.0","9.6"
"River Cracraft","SEA","9.3","78.9","0.3","0.0","0.0","0.0","0.0","9.5"
"Tim Jones","MIN","4.9","57.0","0.6","0.0","2.0","0.0","0.0","9.4"
"Scotty Miller","PIT","5.6","69.6","0.3","0.0","1.3","0.0","0.0","8.6"
"Dareke Young","SEA","5.1","59.7","0.4","0.0","0.0","0.0","0.0","8.1"
"Easop Winston Jr.","NYJ","5.1","59.2","0.4","0.0","0.0","0.0","0.0","8.1"
"Terrace Marshall Jr.","PHI","5.0","64.0","0.0","0.0","4.0","0.0","0.0","6.8"
"Dee Eskridge","MIA","4.0","56.0","0.0","0.0","6.0","0.0","0.0","6.2"
"Tylan Wallace","BAL","3.2","41.3","0.1","0.0","2.0","0.0","0.0","4.8"
